STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-01,0.89,0,,,49,56,41
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-02,1.12,0,,,51,62,43
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-03,4.03,0,,,52,64,44
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-04,2.24,0,,,53,66,43
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-05,4.92,0,,,55,66,44
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-06,2.24,0,,,52,60,44
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-07,4.47,0,,,53,61,46
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-08,9.4,0.01,,,55,59,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-09,11.63,0,,,54,60,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-10,5.82,0,,,53,60,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-11,6.49,0,,,51,58,46
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-12,6.71,0,,,52,60,46
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-13,2.68,0,,,55,67,42
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-14,2.24,0,,,56,72,44
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-15,2.68,0,,,58,73,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-16,2.01,0,,,58,73,46
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-17,1.12,0,,,56,67,45
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-18,1.12,0,,,54,67,43
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-19,2.01,0,,,54,67,43
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-20,1.79,0,,,54,66,43
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-21,2.01,0,,,53,68,43
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-22,5.14,0,,,53,65,44
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-23,4.7,0,,,55,69,44
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-24,2.46,0,,,54,64,46
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-25,1.79,0,,,56,65,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-26,5.82,0,,,57,66,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-27,6.26,0,,,53,59,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-28,5.37,0,,,56,65,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-29,7.83,0,,,60,63,54
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-30,13.42,0,,,55,58,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-01-31,12.3,0,,,53,60,47
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-01,6.26,0,,,51,59,42
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-02,12.3,0.85,,,49,58,47
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-03,10.96,0,,,50,56,46
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-04,7.38,0,,,49,55,44
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-05,7.16,0.09,,,50,55,43
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-06,6.93,0.64,,,50,52,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-07,11.41,0.23,,,53,56,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-08,12.53,0.42,,,55,59,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-09,8.95,0.35,,,57,59,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-10,9.62,0,,,56,57,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-11,9.17,0,,,52,56,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-12,5.82,0,,,50,56,46
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-13,7.61,0,,,53,67,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-14,4.92,0,,,60,66,56
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-15,5.37,0,,,57,62,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-16,8.05,0.01,,,57,63,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-17,10.07,0,,,54,61,46
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-18,7.61,0,,,54,62,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-19,14.32,0.01,,,57,62,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-20,5.82,0,,,54,67,45
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-21,7.16,0,,,56,69,47
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-22,8.95,0,,,55,66,46
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-23,7.61,0,,,52,63,46
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-24,6.26,0,,,53,71,45
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-25,6.49,0,,,56,62,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-26,14.99,0.43,,,56,60,54
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-27,10.07,0.05,,,58,65,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-02-28,14.76,0.68,,,59,61,54
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-01,8.72,0.14,,,56,63,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-02,6.49,0.03,,,56,60,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-03,6.93,0.08,,,55,60,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-04,3.58,0,,,57,62,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-05,6.26,0.16,,,58,68,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-06,7.61,0,,,59,63,54
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-07,10.51,0,,,56,64,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-08,5.82,0,,,55,67,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-09,5.14,0,,,62,71,58
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-10,10.96,0,,,61,66,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-11,8.72,0,,,60,69,56
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-12,17.45,0,,,63,72,58
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-13,8.5,0,,,62,76,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-14,9.84,0,,,58,69,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-15,7.61,0,,,60,76,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-16,12.3,0,,,59,68,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-17,13.87,0,,,57,66,52
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-18,5.14,0,,,58,71,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-19,6.04,0,,,59,73,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-20,10.96,0,,,60,69,51
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-21,7.16,0,,,55,65,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-22,7.61,0,,,55,65,47
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-23,7.83,0,,,55,64,49
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-24,10.51,0,,,56,71,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-25,7.61,0.09,,,57,62,48
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-26,10.96,0.36,,,57,62,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-27,7.83,0,,,58,65,54
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-28,9.4,0,,,60,71,55
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-29,10.74,0.57,,,60,60,53
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-30,9.4,0.01,,,56,61,50
USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4,2014-03-31,9.17,0.49,,,54,57,49
